Day,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),SOC_cost,Departure Full Time,Arrival Full Time
29,7:16,0.32,17:10,0.2902,18.15,0.0298,01/07/2019 07:00,01/07/2019 17:00
30,7:34,0.32,17:05,0.29,18.29,0.03,01/07/2019 07:00,01/07/2019 17:00
30,14:45,0.29,15:41,0.2823,4.71,0.0077,01/07/2019 14:00,01/07/2019 15:00
31,7:31,0.32,17:29,0.2902,18.17,0.0298,01/07/2019 07:00,01/07/2019 17:00
31,10:46,0.2902,12:15,0.278,7.46,0.0122,01/07/2019 10:00,01/07/2019 12:00
32,7:27,0.32,17:17,0.2879,19.57,0.0321,01/07/2019 07:00,01/07/2019 17:00
33,7:39,0.32,17:09,0.2873,19.95,0.0327,01/07/2019 07:00,01/07/2019 17:00
34,9:11,0.32,10:42,0.3076,7.55,0.0124,01/07/2019 09:00,01/07/2019 10:00
35,15:57,0.32,17:31,0.3071,7.84,0.0129,01/07/2019 15:00,01/07/2019 17:00
36,7:27,0.32,17:15,0.2866,20.36,0.0334,01/07/2019 07:00,01/07/2019 17:00
36,9:00,0.2866,10:18,0.276,6.46,0.0106,01/07/2019 09:00,01/07/2019 10:00
37,7:33,0.32,17:06,0.2901,18.23,0.0299,01/07/2019 07:00,01/07/2019 17:00
38,7:27,0.32,17:18,0.2878,19.66,0.0322,01/07/2019 07:00,01/07/2019 17:00
38,9:28,0.2878,11:03,0.2748,7.89,0.013,01/07/2019 09:00,01/07/2019 11:00
39,7:40,0.32,17:10,0.2853,21.17,0.0347,01/07/2019 07:00,01/07/2019 17:00
40,7:39,0.32,17:16,0.2872,20.01,0.0328,01/07/2019 07:00,01/07/2019 17:00
43,7:35,0.32,17:32,0.2866,20.38,0.0334,01/07/2019 07:00,01/07/2019 17:00
44,7:24,0.32,17:28,0.2846,21.58,0.0354,01/07/2019 07:00,01/07/2019 17:00
45,7:21,0.32,17:14,0.2841,21.88,0.0359,01/07/2019 07:00,01/07/2019 17:00
46,7:17,0.32,17:14,0.2839,21.99,0.0361,01/07/2019 07:00,01/07/2019 17:00
47,7:37,0.32,17:03,0.2875,19.8,0.0325,01/07/2019 07:00,01/07/2019 17:00
49,12:11,0.32,13:40,0.3078,7.43,0.0122,01/07/2019 12:00,01/07/2019 13:00
49,9:33,0.3078,11:14,0.294,8.4,0.0138,01/07/2019 09:00,01/07/2019 11:00
50,7:15,0.32,17:07,0.2901,18.21,0.0299,01/07/2019 07:00,01/07/2019 17:00
51,7:41,0.32,17:20,0.2853,21.16,0.0347,01/07/2019 07:00,01/07/2019 17:00
52,7:25,0.32,17:15,0.2879,19.6,0.0321,01/07/2019 07:00,01/07/2019 17:00
53,7:18,0.32,17:17,0.285,21.33,0.035,01/07/2019 07:00,01/07/2019 17:00
54,7:41,0.32,17:13,0.2851,21.26,0.0349,01/07/2019 07:00,01/07/2019 17:00
54,9:49,0.2851,11:09,0.2743,6.62,0.0108,01/07/2019 09:00,01/07/2019 11:00
54,13:56,0.2743,14:47,0.2674,4.2,0.0069,01/07/2019 13:00,01/07/2019 14:00
56,13:42,0.32,14:51,0.3105,5.78,0.0095,01/07/2019 13:00,01/07/2019 14:00
57,7:19,0.32,17:30,0.2845,21.67,0.0355,01/07/2019 07:00,01/07/2019 17:00
58,7:21,0.32,17:29,0.2844,21.72,0.0356,01/07/2019 07:00,01/07/2019 17:00
59,7:39,0.32,17:10,0.2876,19.78,0.0324,01/07/2019 07:00,01/07/2019 17:00
60,7:36,0.32,17:19,0.2904,18.06,0.0296,01/07/2019 07:00,01/07/2019 17:00
61,7:41,0.32,17:18,0.2888,19.02,0.0312,01/07/2019 07:00,01/07/2019 17:00
62,9:05,0.32,9:43,0.3149,3.13,0.0051,01/07/2019 09:00,01/07/2019 09:00
62,17:30,0.3149,18:48,0.3042,6.48,0.0107,01/07/2019 17:00,01/07/2019 18:00
63,13:55,0.32,15:21,0.3083,7.13,0.0117,01/07/2019 13:00,01/07/2019 15:00
64,7:19,0.32,17:16,0.2852,21.22,0.0348,01/07/2019 07:00,01/07/2019 17:00
65,7:12,0.32,17:11,0.2891,18.86,0.0309,01/07/2019 07:00,01/07/2019 17:00
65,9:25,0.2891,10:39,0.279,6.17,0.0101,01/07/2019 09:00,01/07/2019 10:00
65,18:06,0.279,18:49,0.2731,3.59,0.0059,01/07/2019 18:00,01/07/2019 18:00
66,7:30,0.32,17:16,0.2894,18.64,0.0306,01/07/2019 07:00,01/07/2019 17:00
67,7:37,0.32,17:27,0.2866,20.34,0.0334,01/07/2019 07:00,01/07/2019 17:00
68,7:15,0.32,17:26,0.2865,20.43,0.0335,01/07/2019 07:00,01/07/2019 17:00
71,7:28,0.32,17:09,0.2851,21.28,0.0349,01/07/2019 07:00,01/07/2019 17:00
72,7:21,0.32,17:07,0.2861,20.69,0.0339,01/07/2019 07:00,01/07/2019 17:00
72,10:08,0.2861,11:22,0.276,6.16,0.0101,01/07/2019 10:00,01/07/2019 11:00
73,7:18,0.32,17:12,0.2847,21.52,0.0353,01/07/2019 07:00,01/07/2019 17:00
74,7:29,0.32,17:14,0.2862,20.62,0.0338,01/07/2019 07:00,01/07/2019 17:00
75,7:21,0.32,17:05,0.2839,21.98,0.0361,01/07/2019 07:00,01/07/2019 17:00
78,7:39,0.32,17:26,0.2885,19.18,0.0315,01/07/2019 07:00,01/07/2019 17:00
78,15:13,0.2885,16:00,0.2821,3.95,0.0064,01/07/2019 15:00,01/07/2019 16:00
79,7:23,0.32,17:27,0.2859,20.8,0.0341,01/07/2019 07:00,01/07/2019 17:00
80,7:25,0.32,17:09,0.2903,18.13,0.0297,01/07/2019 07:00,01/07/2019 17:00
80,18:27,0.2903,20:05,0.2768,8.21,0.0135,01/07/2019 18:00,01/07/2019 20:00
81,7:12,0.32,17:17,0.284,21.96,0.036,01/07/2019 07:00,01/07/2019 17:00
82,7:13,0.32,17:27,0.2889,18.96,0.0311,01/07/2019 07:00,01/07/2019 17:00
82,18:44,0.2889,19:15,0.2847,2.59,0.0042,01/07/2019 18:00,01/07/2019 19:00
85,7:37,0.32,17:04,0.2869,20.17,0.0331,01/07/2019 07:00,01/07/2019 17:00
86,7:38,0.32,17:30,0.2895,18.6,0.0305,01/07/2019 07:00,01/07/2019 17:00
87,7:13,0.32,17:23,0.285,21.37,0.035,01/07/2019 07:00,01/07/2019 17:00
88,7:17,0.32,17:08,0.2904,18.04,0.0296,01/07/2019 07:00,01/07/2019 17:00
88,11:55,0.2904,13:36,0.2766,8.39,0.0138,01/07/2019 11:00,01/07/2019 13:00
89,7:37,0.32,17:12,0.2865,20.41,0.0335,01/07/2019 07:00,01/07/2019 17:00
92,7:15,0.32,17:29,0.285,21.34,0.035,01/07/2019 07:00,01/07/2019 17:00
93,7:31,0.32,17:08,0.2898,18.44,0.0302,01/07/2019 07:00,01/07/2019 17:00
94,7:13,0.32,17:29,0.2863,20.56,0.0337,01/07/2019 07:00,01/07/2019 17:00
95,7:34,0.32,17:04,0.2848,21.45,0.0352,01/07/2019 07:00,01/07/2019 17:00
96,7:25,0.32,17:08,0.2883,19.31,0.0317,01/07/2019 07:00,01/07/2019 17:00
96,11:34,0.2883,12:26,0.2812,4.38,0.0071,01/07/2019 11:00,01/07/2019 12:00
97,19:15,0.32,20:19,0.3112,5.34,0.0088,01/07/2019 19:00,01/07/2019 20:00
98,9:45,0.32,10:28,0.3142,3.53,0.0058,01/07/2019 09:00,01/07/2019 10:00
99,7:24,0.32,17:09,0.286,20.74,0.034,01/07/2019 07:00,01/07/2019 17:00
100,7:16,0.32,17:08,0.2895,18.62,0.0305,01/07/2019 07:00,01/07/2019 17:00
100,9:53,0.2895,10:53,0.2813,4.98,0.0082,01/07/2019 09:00,01/07/2019 10:00
101,7:15,0.32,17:03,0.2874,19.9,0.0326,01/07/2019 07:00,01/07/2019 17:00
102,7:27,0.32,17:29,0.2904,18.03,0.0296,01/07/2019 07:00,01/07/2019 17:00
103,7:19,0.32,17:07,0.2889,18.98,0.0311,01/07/2019 07:00,01/07/2019 17:00
106,7:39,0.32,17:19,0.2883,19.3,0.0317,01/07/2019 07:00,01/07/2019 17:00
107,7:40,0.32,17:30,0.2857,20.93,0.0343,01/07/2019 07:00,01/07/2019 17:00
108,7:36,0.32,17:24,0.2868,20.26,0.0332,01/07/2019 07:00,01/07/2019 17:00
109,7:39,0.32,17:24,0.2881,19.46,0.0319,01/07/2019 07:00,01/07/2019 17:00
110,7:29,0.32,17:22,0.2888,19.04,0.0312,01/07/2019 07:00,01/07/2019 17:00
113,7:23,0.32,17:11,0.2861,20.66,0.0339,01/07/2019 07:00,01/07/2019 17:00
113,11:24,0.2861,12:09,0.28,3.75,0.0061,01/07/2019 11:00,01/07/2019 12:00
114,7:38,0.32,17:25,0.2873,19.94,0.0327,01/07/2019 07:00,01/07/2019 17:00
114,11:31,0.2873,13:14,0.2732,8.58,0.0141,01/07/2019 11:00,01/07/2019 13:00
115,7:35,0.32,17:11,0.2896,18.56,0.0304,01/07/2019 07:00,01/07/2019 17:00
116,7:30,0.32,17:17,0.2846,21.6,0.0354,01/07/2019 07:00,01/07/2019 17:00
117,7:33,0.32,17:11,0.288,19.52,0.032,01/07/2019 07:00,01/07/2019 17:00
120,7:37,0.32,17:14,0.2887,19.08,0.0313,01/07/2019 07:00,01/07/2019 17:00
121,7:35,0.32,17:27,0.286,20.74,0.034,01/07/2019 07:00,01/07/2019 17:00
122,7:24,0.32,17:20,0.2884,19.24,0.0316,01/07/2019 07:00,01/07/2019 17:00
122,18:10,0.2884,19:28,0.2778,6.5,0.0106,01/07/2019 18:00,01/07/2019 19:00
123,7:18,0.32,17:24,0.2882,19.39,0.0318,01/07/2019 07:00,01/07/2019 17:00
124,7:21,0.32,17:27,0.2871,20.07,0.0329,01/07/2019 07:00,01/07/2019 17:00
127,7:26,0.32,17:05,0.2873,19.91,0.0327,01/07/2019 07:00,01/07/2019 17:00
128,7:35,0.32,17:26,0.2887,19.06,0.0313,01/07/2019 07:00,01/07/2019 17:00
129,7:36,0.32,17:26,0.2862,20.6,0.0338,01/07/2019 07:00,01/07/2019 17:00
129,15:14,0.2862,16:36,0.2751,6.79,0.0111,01/07/2019 15:00,01/07/2019 16:00
130,7:19,0.32,17:17,0.2866,20.39,0.0334,01/07/2019 07:00,01/07/2019 17:00
131,7:40,0.32,17:32,0.2861,20.65,0.0339,01/07/2019 07:00,01/07/2019 17:00
132,19:30,0.32,21:12,0.3061,8.48,0.0139,01/07/2019 19:00,01/07/2019 21:00
134,7:40,0.32,17:16,0.2865,20.42,0.0335,01/07/2019 07:00,01/07/2019 17:00
134,18:43,0.2865,20:13,0.2741,7.55,0.0124,01/07/2019 18:00,01/07/2019 20:00
135,7:34,0.32,17:27,0.2897,18.45,0.0303,01/07/2019 07:00,01/07/2019 17:00
135,8:26,0.2897,9:17,0.2828,4.25,0.0069,01/07/2019 08:00,01/07/2019 09:00
136,7:13,0.32,17:18,0.2896,18.54,0.0304,01/07/2019 07:00,01/07/2019 17:00
137,7:35,0.32,17:09,0.2893,18.72,0.0307,01/07/2019 07:00,01/07/2019 17:00
138,7:33,0.32,17:27,0.2852,21.24,0.0348,01/07/2019 07:00,01/07/2019 17:00
138,19:28,0.2852,20:15,0.2788,3.89,0.0064,01/07/2019 19:00,01/07/2019 20:00
140,13:27,0.32,15:12,0.3056,8.77,0.0144,01/07/2019 13:00,01/07/2019 15:00
141,7:19,0.32,17:25,0.2849,21.41,0.0351,01/07/2019 07:00,01/07/2019 17:00
142,7:13,0.32,17:12,0.2865,20.41,0.0335,01/07/2019 07:00,01/07/2019 17:00
142,15:25,0.2865,16:29,0.2778,5.29,0.0087,01/07/2019 15:00,01/07/2019 16:00
143,7:13,0.32,17:14,0.2865,20.41,0.0335,01/07/2019 07:00,01/07/2019 17:00
144,7:39,0.32,17:19,0.2855,21.02,0.0345,01/07/2019 07:00,01/07/2019 17:00
145,7:23,0.32,17:08,0.2898,18.41,0.0302,01/07/2019 07:00,01/07/2019 17:00
148,7:28,0.32,17:29,0.2841,21.88,0.0359,01/07/2019 07:00,01/07/2019 17:00
148,19:57,0.2841,21:20,0.2727,6.94,0.0114,01/07/2019 19:00,01/07/2019 21:00
149,7:34,0.32,17:03,0.2879,19.56,0.0321,01/07/2019 07:00,01/07/2019 17:00
150,7:39,0.32,17:18,0.2885,19.23,0.0315,01/07/2019 07:00,01/07/2019 17:00
151,7:24,0.32,17:27,0.2871,20.08,0.0329,01/07/2019 07:00,01/07/2019 17:00
152,7:38,0.32,17:09,0.2874,19.9,0.0326,01/07/2019 07:00,01/07/2019 17:00
153,16:19,0.32,18:08,0.3051,9.11,0.0149,01/07/2019 16:00,01/07/2019 18:00
155,7:13,0.32,17:05,0.285,21.36,0.035,01/07/2019 07:00,01/07/2019 17:00
155,9:48,0.285,10:27,0.2797,3.22,0.0053,01/07/2019 09:00,01/07/2019 10:00
156,7:34,0.32,17:15,0.2848,21.47,0.0352,01/07/2019 07:00,01/07/2019 17:00
156,9:52,0.2848,11:15,0.2734,6.93,0.0114,01/07/2019 09:00,01/07/2019 11:00
157,7:38,0.32,17:17,0.2858,20.84,0.0342,01/07/2019 07:00,01/07/2019 17:00
158,7:21,0.32,17:21,0.2843,21.75,0.0357,01/07/2019 07:00,01/07/2019 17:00
158,12:51,0.2843,14:10,0.2735,6.63,0.0108,01/07/2019 12:00,01/07/2019 14:00
159,7:14,0.32,17:18,0.29,18.31,0.03,01/07/2019 07:00,01/07/2019 17:00
162,7:28,0.32,17:29,0.29,18.29,0.03,01/07/2019 07:00,01/07/2019 17:00
162,15:00,0.29,15:33,0.2855,2.76,0.0045,01/07/2019 15:00,01/07/2019 15:00
163,7:33,0.32,17:04,0.288,19.53,0.032,01/07/2019 07:00,01/07/2019 17:00
164,7:31,0.32,17:29,0.287,20.11,0.033,01/07/2019 07:00,01/07/2019 17:00
165,7:22,0.32,17:12,0.2895,18.61,0.0305,01/07/2019 07:00,01/07/2019 17:00
166,7:14,0.32,17:25,0.2852,21.21,0.0348,01/07/2019 07:00,01/07/2019 17:00
169,7:37,0.32,17:31,0.2902,18.17,0.0298,01/07/2019 07:00,01/07/2019 17:00
170,7:41,0.32,17:24,0.2859,20.78,0.0341,01/07/2019 07:00,01/07/2019 17:00
171,7:27,0.32,17:18,0.2849,21.41,0.0351,01/07/2019 07:00,01/07/2019 17:00
172,7:30,0.32,17:30,0.2892,18.76,0.0308,01/07/2019 07:00,01/07/2019 17:00
173,7:35,0.32,17:27,0.2864,20.51,0.0336,01/07/2019 07:00,01/07/2019 17:00
173,10:45,0.2864,11:38,0.2791,4.44,0.0073,01/07/2019 10:00,01/07/2019 11:00
174,9:53,0.32,10:39,0.3137,3.84,0.0063,01/07/2019 09:00,01/07/2019 10:00
174,18:23,0.3137,20:13,0.2986,9.19,0.0151,01/07/2019 18:00,01/07/2019 20:00
176,7:31,0.32,17:15,0.2884,19.25,0.0316,01/07/2019 07:00,01/07/2019 17:00
177,7:39,0.32,17:29,0.2896,18.56,0.0304,01/07/2019 07:00,01/07/2019 17:00
177,18:34,0.2896,19:16,0.2839,3.45,0.0057,01/07/2019 18:00,01/07/2019 19:00
178,7:27,0.32,17:30,0.2893,18.73,0.0307,01/07/2019 07:00,01/07/2019 17:00
179,7:40,0.32,17:29,0.2857,20.93,0.0343,01/07/2019 07:00,01/07/2019 17:00
179,19:58,0.2857,20:44,0.2794,3.82,0.0063,01/07/2019 19:00,01/07/2019 20:00
179,11:07,0.2794,11:44,0.2743,3.14,0.0051,01/07/2019 11:00,01/07/2019 11:00
180,7:38,0.32,17:14,0.2882,19.38,0.0318,01/07/2019 07:00,01/07/2019 17:00
180,13:02,0.2882,14:43,0.2744,8.43,0.0138,01/07/2019 13:00,01/07/2019 14:00
182,9:26,0.32,11:25,0.3037,9.95,0.0163,01/07/2019 09:00,01/07/2019 11:00
183,7:30,0.32,17:28,0.2843,21.77,0.0357,01/07/2019 07:00,01/07/2019 17:00
184,7:39,0.32,17:15,0.285,21.33,0.035,01/07/2019 07:00,01/07/2019 17:00
185,7:21,0.32,17:24,0.2896,18.52,0.0304,01/07/2019 07:00,01/07/2019 17:00
185,17:40,0.2896,19:36,0.2737,9.7,0.0159,01/07/2019 17:00,01/07/2019 19:00
186,7:18,0.32,17:04,0.287,20.12,0.033,01/07/2019 07:00,01/07/2019 17:00
186,14:42,0.287,16:34,0.2718,9.29,0.0152,01/07/2019 14:00,01/07/2019 16:00
187,7:28,0.32,17:16,0.2859,20.79,0.0341,01/07/2019 07:00,01/07/2019 17:00
190,7:28,0.32,17:21,0.284,21.94,0.036,01/07/2019 07:00,01/07/2019 17:00
191,7:41,0.32,17:22,0.2876,19.76,0.0324,01/07/2019 07:00,01/07/2019 17:00
192,7:15,0.32,17:27,0.2864,20.49,0.0336,01/07/2019 07:00,01/07/2019 17:00
193,7:26,0.32,17:15,0.2882,19.41,0.0318,01/07/2019 07:00,01/07/2019 17:00
193,15:09,0.2882,16:57,0.2734,9,0.0148,01/07/2019 15:00,01/07/2019 16:00
194,7:20,0.32,17:13,0.2894,18.64,0.0306,01/07/2019 07:00,01/07/2019 17:00
197,7:28,0.32,17:13,0.2885,19.22,0.0315,01/07/2019 07:00,01/07/2019 17:00
198,7:27,0.32,17:31,0.2843,21.75,0.0357,01/07/2019 07:00,01/07/2019 17:00
199,7:22,0.32,17:20,0.2877,19.68,0.0323,01/07/2019 07:00,01/07/2019 17:00
199,11:32,0.2877,13:13,0.274,8.37,0.0137,01/07/2019 11:00,01/07/2019 13:00
199,11:27,0.274,12:41,0.2638,6.22,0.0102,01/07/2019 11:00,01/07/2019 12:00
200,7:38,0.32,17:14,0.2888,19.01,0.0312,01/07/2019 07:00,01/07/2019 17:00
201,7:23,0.32,17:06,0.2878,19.64,0.0322,01/07/2019 07:00,01/07/2019 17:00
203,8:56,0.32,9:56,0.3118,5,0.0082,01/07/2019 08:00,01/07/2019 09:00
204,7:17,0.32,17:30,0.2863,20.52,0.0337,01/07/2019 07:00,01/07/2019 17:00
205,7:28,0.32,17:18,0.285,21.33,0.035,01/07/2019 07:00,01/07/2019 17:00
205,10:00,0.285,11:02,0.2765,5.21,0.0085,01/07/2019 10:00,01/07/2019 11:00
206,7:23,0.32,17:10,0.2876,19.77,0.0324,01/07/2019 07:00,01/07/2019 17:00
207,7:23,0.32,17:24,0.2878,19.66,0.0322,01/07/2019 07:00,01/07/2019 17:00
208,7:15,0.32,17:21,0.2883,19.32,0.0317,01/07/2019 07:00,01/07/2019 17:00
208,12:17,0.2883,14:03,0.2739,8.82,0.0144,01/07/2019 12:00,01/07/2019 14:00
211,7:25,0.32,17:15,0.2904,18.06,0.0296,01/07/2019 07:00,01/07/2019 17:00
212,7:39,0.32,17:15,0.2882,19.41,0.0318,01/07/2019 07:00,01/07/2019 17:00
213,7:19,0.32,17:26,0.2865,20.41,0.0335,01/07/2019 07:00,01/07/2019 17:00
214,7:32,0.32,17:05,0.287,20.11,0.033,01/07/2019 07:00,01/07/2019 17:00
215,7:26,0.32,17:25,0.2883,19.36,0.0317,01/07/2019 07:00,01/07/2019 17:00
218,7:32,0.32,17:32,0.2869,20.19,0.0331,01/07/2019 07:00,01/07/2019 17:00
218,14:13,0.2869,15:42,0.2747,7.42,0.0122,01/07/2019 14:00,01/07/2019 15:00
219,7:19,0.32,17:03,0.2878,19.66,0.0322,01/07/2019 07:00,01/07/2019 17:00
219,12:12,0.2878,13:17,0.2788,5.43,0.009,01/07/2019 12:00,01/07/2019 13:00
220,7:22,0.32,17:15,0.2868,20.26,0.0332,01/07/2019 07:00,01/07/2019 17:00
221,7:30,0.32,17:17,0.2851,21.25,0.0349,01/07/2019 07:00,01/07/2019 17:00
222,7:30,0.32,17:13,0.2882,19.42,0.0318,01/07/2019 07:00,01/07/2019 17:00
225,7:33,0.32,17:05,0.2879,19.59,0.0321,01/07/2019 07:00,01/07/2019 17:00
226,7:40,0.32,17:19,0.2872,19.98,0.0328,01/07/2019 07:00,01/07/2019 17:00
226,9:53,0.2872,10:46,0.28,4.4,0.0072,01/07/2019 09:00,01/07/2019 10:00
226,12:42,0.28,13:27,0.2738,3.77,0.0062,01/07/2019 12:00,01/07/2019 13:00
227,7:20,0.32,17:25,0.2886,19.17,0.0314,01/07/2019 07:00,01/07/2019 17:00
227,11:51,0.2886,13:22,0.2762,7.57,0.0124,01/07/2019 11:00,01/07/2019 13:00
227,17:21,0.2762,18:28,0.267,5.61,0.0092,01/07/2019 17:00,01/07/2019 18:00
228,7:21,0.32,17:16,0.2871,20.06,0.0329,01/07/2019 07:00,01/07/2019 17:00
229,7:31,0.32,17:19,0.2872,19.98,0.0328,01/07/2019 07:00,01/07/2019 17:00
232,7:20,0.32,17:16,0.2865,20.42,0.0335,01/07/2019 07:00,01/07/2019 17:00
